----------------------------------------------------------------------------------------
Impl         Status       Mean(ms)       Median          Min          Max          Std
----------------------------------------------------------------------------------------
reference    OK              3.527        1.594        0.407       15.219        4.024
tilelang     ERROR               -            -            -            -            -
ascendc      OK             18.542       12.970        0.675       84.597       15.071
----------------------------------------------------------------------------------------
reference -> /home/Code/AscendOpGenAgent/output/20260423_181735/6_CausalConv1dFn/model.py
case[34] mean=14.679 ms, median=14.294 ms, samples(ms): [14.274, 13.817, 15.334, 14.032, 13.896, 15.034, 13.978, 14.315, 16.470, 15.643]
case[35] mean=15.558 ms, median=14.588 ms, samples(ms): [26.995, 15.151, 14.672, 14.173, 13.479, 15.308, 13.767, 12.863, 14.622, 14.554]
case[36] mean=15.294 ms, median=15.204 ms, samples(ms): [16.939, 14.522, 16.129, 17.374, 15.101, 16.436, 15.077, 13.444, 15.308, 12.609]
case[37] mean=13.003 ms, median=12.365 ms, samples(ms): [10.575, 16.733, 12.261, 12.669, 10.474, 10.967, 11.192, 18.677, 14.011, 12.469]
case[38] mean=26.865 ms, median=26.085 ms, samples(ms): [26.098, 23.763, 25.798, 26.507, 30.996, 26.072, 28.176, 22.873, 33.545, 24.820]
case[39] mean=46.607 ms, median=45.881 ms, samples(ms): [46.974, 46.786, 46.664, 44.678, 41.806, 44.959, 45.482, 57.587, 44.851, 46.279]
case[40] mean=11.163 ms, median=11.473 ms, samples(ms): [11.370, 11.603, 12.768, 12.991, 14.031, 11.576, 8.845, 9.234, 9.636, 9.581]
case[41] mean=38.808 ms, median=36.473 ms, samples(ms): [49.006, 30.085, 31.417, 30.045, 32.792, 30.670, 61.740, 40.886, 40.155, 41.284]
case[42] mean=50.346 ms, median=47.844 ms, samples(ms): [41.545, 57.235, 44.107, 52.490, 48.244, 47.444, 45.510, 60.641, 61.094, 45.155]
case[43] mean=0.733 ms, median=0.730 ms, samples(ms): [0.737, 0.724, 0.722, 0.725, 0.737, 0.731, 0.726, 0.740, 0.728, 0.755]
case[44] mean=33.835 ms, median=34.292 ms, samples(ms): [32.094, 34.242, 41.060, 30.235, 29.880, 29.909, 34.342, 36.709, 34.417, 35.462]
case[45] mean=8.245 ms, median=8.122 ms, samples(ms): [8.596, 8.754, 9.945, 7.400, 9.555, 6.633, 7.632, 7.877, 7.689, 8.368]
case[46] mean=0.695 ms, median=0.693 ms, samples(ms): [0.677, 0.682, 0.694, 0.757, 0.701, 0.675, 0.678, 0.692, 0.695, 0.698]
case[47] mean=4.208 ms, median=2.886 ms, samples(ms): [2.952, 2.586, 2.959, 2.990, 16.458, 2.820, 2.737, 2.590, 2.806, 3.185]
case[48] mean=10.607 ms, median=9.979 ms, samples(ms): [12.265, 10.963, 10.047, 9.912, 11.773, 9.806, 9.244, 9.494, 9.888, 12.680]
case[49] mean=21.530 ms, median=15.146 ms, samples(ms): [14.845, 16.610, 14.510, 12.235, 13.355, 14.202, 40.170, 46.982, 26.942, 15.448]
case[50] mean=8.248 ms, median=5.463 ms, samples(ms): [14.680, 7.872, 23.259, 5.560, 5.366, 5.023, 5.110, 4.950, 6.138, 4.528]
case[51] mean=9.817 ms, median=7.519 ms, samples(ms): [4.827, 18.395, 7.749, 8.819, 8.970, 23.817, 6.605, 7.290, 5.337, 6.358]
case[52] mean=6.538 ms, median=6.308 ms, samples(ms): [6.944, 6.071, 6.037, 5.811, 6.960, 8.817, 6.565, 5.738, 5.897, 6.546]
case[53] mean=11.712 ms, median=10.454 ms, samples(ms): [9.612, 10.280, 9.907, 9.437, 10.393, 17.758, 10.579, 10.778, 10.516, 17.862]
case[54] mean=13.027 ms, median=11.932 ms, samples(ms): [12.013, 12.494, 11.675, 11.713, 13.720, 12.142, 11.389, 11.852, 11.639, 21.636]
case[55] mean=21.704 ms, median=15.270 ms, samples(ms): [11.036, 14.565, 14.831, 12.934, 15.708, 13.399, 22.504, 18.196, 25.303, 68.559]
case[56] mean=17.843 ms, median=16.659 ms, samples(ms): [22.670, 23.669, 21.860, 13.577, 13.370, 14.332, 13.297, 18.986, 23.211, 13.458]
case[57] mean=37.684 ms, median=36.694 ms, samples(ms): [31.982, 43.603, 39.127, 42.783, 43.965, 38.231, 35.052, 34.726, 35.157, 32.210]
case[58] mean=21.249 ms, median=21.280 ms, samples(ms): [21.323, 21.743, 18.962, 19.748, 23.000, 21.236, 21.107, 23.025, 21.467, 20.879]
case[59] mean=9.546 ms, median=8.514 ms, samples(ms): [13.281, 8.051, 12.268, 8.483, 9.716, 8.544, 7.315, 12.195, 8.439, 7.168]
